"","D3.NONE.1","D3.NONE.2","D3.NONE.3","D7.NONE.1","D7.NONE.2","D7.NONE.3","D11.NONE.1","D11.NONE.2","D11.NONE.3","D3.1.1","D3.1.2","D3.1.3","D7.0.1.1","D7.0.1.2","D7.0.1.3","D7.1.1","D7.1.2","D7.1.3","D7.10.1","D7.10.2","D7.10.3","D11.1.1","D11.1.2","D11.1.3"
"IFI44",3.81927208199754,3.90208498039454,4.07307484194226,4.43546672251158,5.30266568878155,3.81286543065512,4.07585063422015,4.56421219902724,3.61912660633417,3.89720337432471,4.0366943633199,3.82531433288396,3.7691619787285,4.22160796042177,4.55537884287848,3.74533530993754,3.73844396260901,3.79184153816796,3.91819052598425,4.21012987878447,3.64400339485284,5.05912230928921,5.18326688865224,5.16117424371547
"CENPA",6.15162023869155,6.44189669938674,6.03955745427009,7.06554580854033,6.78605084278595,6.12054321607618,6.31555842870631,5.73321518269685,5.63700439443911,5.12403895404479,4.87719499009484,5.16715263097873,5.16617556952632,4.90470920770211,5.67679926138468,5.34607103272657,5.77609635981759,5.04107421769437,4.93137924699593,4.79051471221957,4.73268311604433,6.74581462796715,4.79606431104294,4.71989765418667
"COLEC10",4.79154128870805,5.6831881374667,5.61890952823696,5.40613487354262,5.73949100983424,6.21165526051787,5.33782683913801,6.14470269326454,5.98547996213889,8.08478913361308,8.32546552094638,8.55071443281505,8.50719167962513,8.43897545785614,8.46172305677389,9.07242408024238,9.33653861191801,9.00764627327436,9.37948895306834,9.83434257838013,9.52746680099931,6.57898481988963,9.02534460746022,8.47431908547813
"SMC2",6.16736278887623,6.76675605670438,7.0953991004122,5.40359681015125,6.98570776598845,6.28412750967452,5.87898664899755,6.52062174661309,6.36677811385761,4.33404411269848,4.20463113286971,4.2390223186089,4.57550064781734,3.3540627404334,5.7752321568063,4.8350368773832,4.81458948796782,5.30854305321259,4.06977548824455,4.54756286558501,5.18193412350171,2.30626053457731,5.43809215139058,4.76010932069616
"CDC42EP3",8.73739499672017,8.62592979723564,8.47414486293975,8.96767218162012,8.68780056996157,8.89336171814004,9.21923766739622,9.21726887500076,9.05379043896736,6.9257114898525,7.12587564869194,6.96628971735219,6.20152013978378,6.08961816649699,7.29940164704924,6.07141927984721,6.33721065841533,6.46557020399381,5.96515117728942,6.10893188467208,5.98147024526803,5.93668910890465,6.19606691655848,6.38591191431241
"P3H4",7.23324526233422,7.39315735594112,7.53101069137031,7.77412070938171,7.18814140295974,7.37858945235652,7.70559651413462,7.2910541007096,7.41832164798814,9.04376967771309,8.63805662930747,8.78044209533203,9.01640352227425,8.78242167768337,8.66285648092165,8.93429644168099,8.7714201872871,8.1167829975446,8.772238572339,8.33325155836939,8.47791487155696,9.84213180897405,8.94431155916797,8.69260522084845
"SPAG5",5.85097938989012,5.49176415310366,5.86793456156548,5.63577156812326,5.83844748158136,4.69490184611139,4.50859515766106,4.67397365345886,4.51557482223834,3.1412304457129,3.29926567328274,3.05958399401735,4.21292576743056,3.53826918013792,4.99891996807851,4.11192886559514,4.13186923270445,3.69574073439179,3.62024077606379,3.97467424555908,3.07036467946273,3.40370467585172,3.02806088505783,3.30762097639941
"CENPE",7.68875392680626,7.98167665329021,8.29392867288698,6.46599121519055,8.20797928465079,7.42159952786117,6.00619375321052,7.66368812491534,6.82919319251112,4.91218792892613,5.14836589094505,4.30601852330665,5.60623541731527,5.71594289756032,6.63468672909005,5.64558198629574,5.97717611563145,6.01482826649397,4.27557046962138,5.08499808741493,5.30223692390169,5.1614402753645,5.62489502343525,5.53473531842403
"POLR3G",6.64589992448515,7.14872398995424,7.0284982091687,5.99976981067756,7.00737498846257,5.98690561218086,4.6680744393942,5.5120924854636,5.54124186401577,5.28977499349477,5.23446842278412,4.75640022426216,4.07440499723187,4.46095361168867,4.95803535643699,3.53323979834395,4.26985711390194,4.68008804685501,3.99430097171171,3.78309478377078,4.07862632461507,4.51497485077447,5.0961876127225,4.96997573884696
"IVNS1ABP",6.78227535085607,6.83129050907041,6.78166736758715,5.49014873858353,6.61541211134629,6.80309259491129,6.31133991193224,6.8780327974347,6.93005105951005,5.5252016026685,5.36552047837298,5.94286835284073,6.19581417748906,6.21114287522494,6.68192023905273,6.13762287072191,6.07663555933048,6.35325061139128,5.38010912469419,6.14611985569646,6.01576954094998,5.09850339685112,6.87402693017017,6.61640693136681
"CENPF",7.7462188005717,8.1381715568396,8.45265904941625,7.7266794494915,8.64143207916077,8.10940717724473,6.91810283571068,7.75335137359955,7.67022574472744,4.00281655472223,3.85206015825634,4.4270088833932,5.19431654972328,5.2218777332607,7.36267799636616,6.05539514996474,6.14555450798012,6.91632610774939,4.00400496276339,4.59122442268888,5.50930675657877,3.26768585716284,5.12137117418158,4.48915046663001
"PDPN",5.88819056942326,6.4350487716679,6.35842676874392,5.17448978327268,6.6129586127921,6.44057856068607,6.55964169136173,7.13231001564716,7.05159460138407,8.36163152326806,8.41652558641128,8.33498482577774,8.36653249853622,8.09430834403613,8.51166965167296,8.89466559746414,8.9497489463969,8.65301979569222,8.40159494477049,8.78929618712501,8.87487389238195,8.18448266750741,9.62922290314242,9.34393968651382
"POSTN",10.0930415040178,10.4327368753189,10.8677877961781,10.1984609597982,11.0244210725796,11.7133172234818,11.3401224084229,11.6511751518561,11.657589493649,8.75219711479933,8.70943875945616,9.46293583935515,7.54479087836024,6.87951818330191,8.63200314430212,6.53538985844978,6.78341612589697,7.49658490070252,6.0807925500895,7.37299767218386,7.79253591813888,5.41854260601801,7.06667297690023,7.24089550172209
"RAD51AP1",4.61702115395848,5.83528255843639,5.81490655545211,3.96735528166579,5.78459938223668,5.72591090978473,4.24718110644633,5.02563799041089,4.71343201394611,2.89818861329588,3.38068256835308,2.99498844977296,3.51214153623745,2.48569475171798,3.86578085303619,3.25754875856859,3.28325642301811,3.19607562896922,2.92867605661048,2.9760075173266,3.09792069433481,4.32849040119016,2.76040437261429,3.2067396600667
"KHDRBS3",6.90686316946746,7.23220279119602,7.19803954669996,6.28210529288846,7.01702623725236,6.53238441549061,6.24715259803834,6.84791343882673,6.75642330418016,4.15160058667644,4.11105410588965,3.95981883613946,4.29584463796863,4.31606462959417,4.81213405920368,4.63620980350074,4.69873940171751,4.68222910482017,3.68806640662394,5.06878472674728,4.24071342302286,3.52640418596041,4.85812428731662,4.43731785091981
"CD226",3.18508941442298,3.82204231572983,3.67129043819649,3.88915744059628,3.50118172183949,3.82143883168511,3.82748687573632,3.78744823018072,3.78849597159866,5.93073974873073,5.84204673517969,6.30775516586462,3.96516237948346,4.17379716197648,5.06052860568258,3.50986922608626,4.46118755645231,4.51887128484674,4.43755950880836,4.96286528010067,5.13700872376528,4.12487722761234,4.63908153564383,3.84538419780825
